,bookID,title,authors,average_rating,  num_pages,ratings_count,text_reviews_count,publication_date
0,1,Harry Potter and the Half-Blood Prince (Harry Potter  #6),J.K. Rowling/Mary GrandPré,4.57,652,2095690,27591,9/16/2006
1,2,Harry Potter and the Order of the Phoenix (Harry Potter  #5),J.K. Rowling/Mary GrandPré,4.49,870,2153167,29221,9/1/2004
2,4,Harry Potter and the Chamber of Secrets (Harry Potter  #2),J.K. Rowling,4.42,352,6333,244,11/1/2003
3,5,Harry Potter and the Prisoner of Azkaban (Harry Potter  #3),J.K. Rowling/Mary GrandPré,4.56,435,2339585,36325,5/1/2004
4,8,Harry Potter Boxed Set  Books 1-5 (Harry Potter  #1-5),J.K. Rowling/Mary GrandPré,4.78,2690,41428,164,9/13/2004
5,9,"Unauthorized Harry Potter Book Seven News: ""Half-Blood Prince"" Analysis and Speculation",W. Frederick Zimmerman,3.74,152,19,1,4/26/2005
6,10,Harry Potter Collection (Harry Potter  #1-6),J.K. Rowling,4.73,3342,28242,808,9/12/2005
7,12,The Ultimate Hitchhiker's Guide: Five Complete Novels and One Story (Hitchhiker's Guide to the Galaxy  #1-5),Douglas Adams,4.38,815,3628,254,11/1/2005
8,13,The Ultimate Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1-5),Douglas Adams,4.38,815,249558,4080,4/30/2002
9,14,The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1),Douglas Adams,4.22,215,4930,460,8/3/2004
10,16,The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1),Douglas Adams/Stephen Fry,4.22,6,1266,253,3/23/2005
11,18,The Ultimate Hitchhiker's Guide (Hitchhiker's Guide to the Galaxy  #1-5),Douglas Adams,4.38,815,2877,195,1/17/1996
12,21,A Short History of Nearly Everything,Bill Bryson,4.21,544,248558,9396,9/14/2004
13,22,Bill Bryson's African Diary,Bill Bryson,3.44,55,7270,499,12/3/2002
14,23,Bryson's Dictionary of Troublesome Words: A Writer's Guide to Getting It Right,Bill Bryson,3.87,256,2088,131,9/14/2004
15,24,In a Sunburned Country,Bill Bryson,4.07,335,72451,4245,5/15/2001
16,25,I'm a Stranger Here Myself: Notes on Returning to America After Twenty Years Away,Bill Bryson,3.9,304,49240,2211,6/28/2000
17,26,The Lost Continent: Travels in Small Town America,Bill Bryson,3.83,299,45712,2257,8/28/1990
18,27,Neither Here nor There: Travels in Europe,Bill Bryson,3.86,254,48701,2238,3/28/1993
19,28,Notes from a Small Island,Bill Bryson,3.91,324,80609,3301,5/28/1997
